Carimbo de data/hora,curso,semestre,situacao_atual,genero,porque_ibmec,area_interesse,atividades_extracurriculares,motivo_curso,objetivo_profissional,diferencial_ibmec,distancia
14/06/2025 19:57:29,Economia,1° Semestre,Apenas estudando,Masculino,Qualidade do ensino,Finanças,"Empresa júnior, Ligas, Monitoria, Hackathons",Interesse na área, Trabalhar em empresa grande,Setor Casa e Carreiras!,De 5kms até 10kms?
14/06/2025 20:02:45,Ciência de Dados e Inteligência Artificial,1° Semestre,Apenas estudando,Masculino,Networking / Indicação ,Tecnologia,Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada,Interesse na área, Trabalhar em empresa grande,Networking,De 15kms até 20kms?
14/06/2025 20:03:53,Admnistração,6° Semestre,Estagiando,Masculino,Networking / Indicação ,"Finanças, Empreendedorismo, Marketing","Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Interesse na área, Trabalhar em empresa grande,Acolhimento e excelência.,Mais de 20kms?
14/06/2025 20:08:31,Ciência de Dados e Inteligência Artificial,2° Semestre,Apenas estudando,Masculino,Qualidade do ensino,Finanças,Hackathons,Mercado promissor," Trabalhar em empresa grande, Empreender / Criar uma startup",.,Mais de 20kms?
14/06/2025 20:20:02,Ciência de Dados e Inteligência Artificial,1° Semestre,Apenas estudando,Masculino,Qualidade do ensino,"Tecnologia, Marketing",Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada,Oportunidades de carreira,Empreender / Criar uma startup,"Ensino, comunicação da diretoria e alunos, estrutura",De 10kms até 15kms?
14/06/2025 20:24:49,Admnistração,5° Semestre,Apenas estudando,Masculino,Qualidade do ensino,"Finanças, Tecnologia, Empreendedorismo, Consultoria, Marketing",Ligas,Interesse na área,Empreender / Criar uma startup,Foco no mercado privado + gestão empresarial ,De 5kms até 10kms?
14/06/2025 20:33:09,Ciência de Dados e Inteligência Artificial,1° Semestre,Apenas estudando,Masculino,Networking / Indicação ,"Finanças, Tecnologia, Empreendedorismo","Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Mercado promissor,Empreender / Criar uma startup,Seus projetos extracurriculares ,Até 5kms?
14/06/2025 22:09:25,Admnistração,6° Semestre,Efetivado (contrato CLT ou equivalente),Masculino,,Empreendedorismo,"Ligas, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada, Monitoria, Hackathons",Vocação / facilidade com as matérias,Empreender / Criar uma startup,,Até 5kms?
14/06/2025 23:08:28,Admnistração,3° Semestre,Apenas estudando,Masculino,Bolsa de estudos,"Finanças, Tecnologia, Marketing",,Influência de familiares/amigos," Trabalhar em empresa grande, Trabalhar em empresa familiar",Renome,De 15kms até 20kms?
15/06/2025 11:12:36,Economia,3° Semestre,Estagiando,Masculino,Qualidade do ensino,"Empreendedorismo, Consultoria","Empresa júnior, Iniciação Científica / Projeto de Extensão / Pesquisa Aplicada",Vocação / facilidade com as matérias," Trabalhar em empresa grande, Empreender / Criar uma startup",Nível dos professores e projetos aplicados,Mais de 20kms?
